Parent Cell,x,y,z,Daughter Cell A,x,y,z,Daughter Cell B,x,y,z
MSaa,272.7210683875,237.32759495,14.97960123125,MSaap,312.1924971625,236.84831455,14.622213765,MSaaa,259.524896675,241.6598735,14.92934753875
MSap,329.15222215,234.529680075,14.86873361625,MSapp,365.7352499875,229.8028175375,15.06906041875,MSapa,323.4585615375,230.130234825,14.919577385
MSpa,324.281298975,244.4855799,14.650432595,MSpap,371.519931075,239.5351075,14.5626457275,MSpaa,320.3938388,249.52557385,14.5164197925
MSpp,390.809417,248.49255985,14.62691858,MSppp,430.4009324625,245.639545,14.71864641375,MSppa,396.05248445,255.7733215125,14.5488072575
ABalaaa,197.0315137,257.065360475,14.9963821375,ABalaaap,0,0,0,ABalaaaa,0,0,0
ABalaap,227.3749115,248.2103345125,14.902155465,ABalaapp,270.509678228571,261.562959657143,14.7994507657143,ABalaapa,232.007842771429,260.4625051,14.7866231557143
ABalapa,218.013403975,265.9387344375,15.456148715,ABalapap,246.783036725,265.7180242625,15.55528159125,ABalapaa,216.6417442,260.91514075,15.39571739625
ABalapp,257.6543689375,257.991198125,15.124922645,ABalappp,295.1480544875,261.1899236,15.0748818475,ABalappa,252.769303975,263.4639287375,15.168961145
ABalpaa,206.2655229,243.136808525,15.54148796375,ABalpaap,216.605691525,243.896963325,15.329843355,ABalpaaa,198.2988862,248.684100525,14.8887276625
ABalpaa,210.375,253.0054348,15.6509058,,,,,,,,
ABalpap,243.4659609,232.3277582125,15.38144682625,ABalpapp,260.828805375,233.1001325375,15.1209081075,ABalpapa,217.2526570125,237.4380341,15.14316014875
ABalppa,252.17963785,236.3270006125,16.044508115,ABalppap,250.56230335,234.3937964375,15.6673671925,ABalppaa,218.3754602875,236.9113593375,15.664753975
ABalppp,297.9082910375,231.8768665125,15.5921726875,ABalpppp,303.862777325,237.6834842,15.2210421925,ABalpppa,264.4252732875,240.2717943625,15.466516485
ABaraaa,238.68885635,264.2361982,14.79585569875,ABaraaap,254.685285,266.7712897875,14.77358912375,ABaraaaa,220.0746358875,260.6076648375,14.7112121325
ABaraap,280.343927175,254.9510055125,14.70914243,ABaraapp,295.833210325,254.3032854625,14.68310168625,ABaraapa,251.4049227125,256.475587525,14.75823704
ABarapa,291.4656385625,271.4315708375,14.59540302,ABarapap,314.566079875,267.9069376125,14.6334090375,ABarapaa,275.5930916625,269.8340464375,14.6432871325
ABarapp,341.890843175,263.1233876125,14.53721085875,ABarappp,363.0155834125,267.7331359,14.51092847625,ABarappa,332.59227335,270.0779785375,14.61040354375
ABarpaa,267.4234513,276.6945018,15.35788739625,ABarpaap,289.5477937875,275.30040155,15.3313288025,ABarpaaa,251.4283959375,273.9600642,15.1696798075
ABarpap,309.9252427625,268.3152525375,14.86906399375,ABarpapp,335.070554125,271.6721456875,15.05003199,ABarpapa,291.4194319625,272.222811175,15.02101254875
ABarppa,325.632145275,278.2309833375,15.59762392,ABarppap,361.2234757875,264.9716453,15.35982690375,ABarppaa,322.8081368875,271.82596475,15.51651125875
ABarppp,377.1299503125,276.469538,15.29821202375,ABarpppp,415.4451006375,269.242258525,15.2429511575,ABarpppa,371.6029381125,273.3332337375,15.2501481325
ABplaaa,242.5593308375,261.8637689625,15.97431541125,ABplaaap,265.7132320625,259.1430499625,15.76765557625,ABplaaaa,222.8310957375,256.231333725,15.83384069125
ABplaap,275.867215075,249.14910215,15.5849351025,ABplaapp,297.15491685,244.1556152375,15.54325770875,ABplaapa,250.270460775,245.14303625,15.91986544
ABplapa,301.5548422625,263.7251874625,15.47604456,ABplapap,337.23826315,256.05576955,15.431010805,ABplapaa,297.207555225,258.170270525,15.61370347625
ABplapp,338.5804746875,249.6586411375,15.42439953125,ABplappp,389.4516323625,240.523742775,15.70356444125,ABplappa,341.7497561,243.356487425,15.49504072375
ABplpaa,322.1385309375,232.522523975,16.01252389625,ABplpaap,303.7640945625,230.0749154875,15.90275493125,ABplpaaa,268.0258883,229.60323555,15.85382651125
ABplpap,371.7556097625,227.9442548125,15.63065621125,ABplpapp,358.3766306125,226.01833075,15.43176649625,ABplpapa,313.8273015125,225.9452955375,15.58783495375
ABplppa,377.2385274375,239.3303456875,15.88335523125,ABplppap,371.9210455375,232.662761525,15.6490257775,ABplppaa,334.9985999,231.2939905125,15.7776406875
ABplppp,421.9675175625,233.5335466875,15.82439498625,ABplpppp,423.408082175,230.3263811875,15.815061995,ABplpppa,391.4513956875,228.4018054375,15.55431284875
ABpraaa,334.05210145,281.7111584375,14.92925855625,ABpraaap,336.8476804625,282.134031275,15.0163246025,ABpraaaa,302.3320770125,279.5323647375,14.87795479125
ABpraap,381.2574613625,275.5720264375,14.84231974875,ABpraapp,400.040120675,279.5746374,14.9008463275,ABpraapa,361.5723653875,283.07734075,14.86623117875
ABprapa,410.71077555,279.571275125,15.21380451625,ABprapap,437.497527114286,281.358785571429,15.3457970514286,ABprapaa,393.5024833625,281.788400625,15.36924603625
ABprapp,459.6128062,273.757030175,15.13553026375,ABprappp,487.750385225,268.17881065,15.20960044375,ABprappa,458.9955095,276.383766675,14.98970269875
ABprpaa,422.8970806375,273.422023175,14.67746395125,ABprpaap,409.0264757,277.714266675,14.710109855,ABprpaaa,371.8862710625,277.57265765,14.67763995625
ABprpap,457.2519570375,262.302041375,14.77928506,ABprpapp,448.7854097375,263.7149042625,14.72059524,ABprpapa,413.1438772,270.64072515,14.653198175
ABprppa,488.7970901,271.8132003375,14.917869115,ABprppap,467.4324716125,271.350144075,14.83007246375,ABprppaa,438.6560775375,276.9960083875,14.81984252375
ABprppp,499.91637905,258.79575275,15.04657137125,ABprpppp,491.89358325,257.4102640875,14.996723575,ABprpppa,491.7578566875,267.8921514875,14.8652492475
Caaa,384.20487165,260.3205223,15.35676516625,Caaap,485.438481575,248.4232965625,15.6102085025,Caaaa,443.09971735,252.42628365,15.55064713875
Caap,444.1258349375,250.9021263875,15.68253361,Caapp,508.556925075,246.226209675,15.16942034875,Caapa,511.020026475,249.72994475,15.31788426625
Capa,439.2218713375,244.3084386625,15.53393672125,Capap,458.4035970125,248.7776301625,14.71539501875,Capaa,431.641790375,245.29471785,14.76727542
Capp,470.379308475,245.6898355125,15.75751713625,Cappp,485.9527444375,246.8220968625,14.96876789125,Cappa,471.131243875,241.8961320875,15.11417957
Cpaa,457.101685,270.3026369375,15.54642785125,Cpaap,490.1382874,262.9152498,15.45060406625,Cpaaa,444.4665050375,265.80457795,15.47470474875
Cpap,484.77274675,256.1838534375,15.72318073125,Cpapp,517.75479715,252.42200955,15.10576822625,Cpapa,515.2941892,259.3526321875,15.181369965
Cppa,510.478642175,256.389901025,15.18598599625,Cppap,466.5476277125,254.609152975,14.72715692,Cppaa,448.6339739,259.3498389875,14.6175363125
Cppp,496.3944012625,246.071324625,15.51964028625,Cpppp,490.967669225,254.6327006125,14.94052622125,Cpppa,485.7550787,258.8352979125,14.91365872375
Daa,420.9223138625,241.041065675,14.81265181875,Daap,401.1032942625,235.7406623,14.67618144375,Daaa,378.959347425,233.61228445,15.066561485
Dap,450.4642904375,240.7831752,14.862392695,Dapp,426.7361129375,236.923676175,14.8298511575,Dapa,396.84832335,231.740153725,14.95318496375
Dpa,439.9610892875,254.792030025,14.74423211375,Dpap,404.7112368375,264.24365185,14.7457772325,Dpaa,385.39456055,270.7817293375,14.964586245
Dpp,465.4561721875,253.4554038875,14.77279259125,Dppp,431.0704413375,269.5305177125,14.9749151475,Dppa,401.43053775,277.1328603,15.00429499625
Eala,328.39615995,248.2203087875,14.874511605,,,,,Ealaa,317.06295415,249.1490537125,15.01746750625
Ealp,363.777321675,245.467131225,14.77614012875,,,,,,,,
Eara,336.1564059,260.9822539875,14.76896916,,,,,Earaa,322.9341672625,261.8603508,14.86689327125
Earp,374.1622434125,261.808928575,14.604078585,,,,,,,,
Epla,410.336013625,250.5968302125,14.93266498,,,,,,,,
Eplp,450.0145768,249.4783811125,14.99260476125,,,,,Eplpp,477.4897414375,250.7863692875,15.04524707125
Epra,417.7102514,261.9990109875,14.8228023525,,,,,,,,
Eprp,458.2698896625,259.62531865,15.01597956,,,,,,,,
MSaaa,259.524896675,241.6598735,14.92934753875,MSaaap,285.858586585714,246.760897885714,14.5588204257143,MSaaaa,239.7663674375,248.033084975,14.8980927125
MSaap,312.1924971625,236.84831455,14.622213765,MSaapp,358.463894175,238.25528825,14.52473266,MSaapa,309.80649305,239.43084695,14.530900825
MSapa,323.4585615375,230.130234825,14.919577385,MSapap,320.9070892,236.1746555625,14.90680543375,MSapaa,291.7738483875,238.4952619375,15.03987952125
MSapp,365.7352499875,229.8028175375,15.06906041875,MSappp,381.87826005,235.5156911,14.9597869225,MSappa,352.2790228375,237.5039149875,14.74392639
MSpaa,320.3938388,249.52557385,14.5164197925,MSpaap,331.8053217375,252.7093203375,14.44994525625,MSpaaa,291.1192282,257.1864421,14.5887024225
MSpap,371.519931075,239.5351075,14.5626457275,MSpapp,402.3732035375,245.106216125,14.5338365625,MSpapa,355.3575333875,247.549694675,14.43180635125
MSppa,396.05248445,255.7733215125,14.5488072575,MSppap,374.31457385,262.0592886,14.5186719575,MSppaa,334.8434978875,262.8764708125,14.57655840625
MSppp,430.4009324625,245.639545,14.71864641375,MSpppp,414.625820325,256.9632383375,14.6537292825,MSpppa,387.8519284625,256.4474587125,14.4828257125
ABalaaaa,0,0,0,,,,,,,,
ABalaaap,0,0,0,,,,,,,,
ABalaapa,232.007842771429,260.4625051,14.7866231557143,ABalaapap,227.5126367,268.375699457143,14.7646575185714,ABalaapaa,203.247284214286,262.895024471429,14.7966178071429
ABalaapp,270.509678228571,261.562959657143,14.7994507657143,ABalaappp,246.583760657143,270.810421642857,15.2679898942857,ABalaappa,223.365347114286,269.337686785714,15.1536514985714
ABalapaa,216.6417442,260.91514075,15.39571739625,ABalapaap,218.4482886875,245.3479069,15.501682965,ABalapaaa,202.573301325,250.3098058625,15.482230275
ABalapap,246.783036725,265.7180242625,15.55528159125,ABalapapp,266.4525521375,250.3583389875,15.4495095875,ABalapapa,231.3168415,252.6477704625,15.68705704375
ABalappa,252.769303975,263.4639287375,15.168961145,ABalappap,228.366163975,263.5831401125,15.46353012375,ABalappaa,204.942012325,258.7692868875,15.49742025375
ABalappp,295.1480544875,261.1899236,15.0748818475,,,,,ABalapppa,256.170171175,265.6557748125,15.48369956875
ABalpaaa,198.2988862,248.684100525,14.8887276625,,,,,,,,
ABalpaap,216.605691525,243.896963325,15.329843355,,,,,,,,
ABalpapa,217.2526570125,237.4380341,15.14316014875,,,,,,,,
ABalpapp,260.828805375,233.1001325375,15.1209081075,ABalpappp,294.00697025,241.9152080625,14.44660856875,ABalpappa,261.748501825,241.182356825,14.620240435
ABalppaa,218.3754602875,236.9113593375,15.664753975,ABalppaap,236.4428430625,232.027458975,15.19631278625,ABalppaaa,216.9500050125,236.868261825,15.25964385875
ABalppap,250.56230335,234.3937964375,15.6673671925,,,,,ABalppapa,254.5924837125,233.8286718125,14.92245102375
ABalpppa,264.4252732875,240.2717943625,15.466516485,,,,,ABalpppap,262.6855289625,234.471277525,15.3675434625
ABalpppp,303.862777325,237.6834842,15.2210421925,,,,,,,,
ABaraaaa,220.0746358875,260.6076648375,14.7112121325,,,,,ABaraaaap,224.5005156125,257.1964879625,14.91723996125
ABaraaap,254.685285,266.7712897875,14.77358912375,,,,,,,,
ABaraapa,251.4049227125,256.475587525,14.75823704,,,,,,,,
ABaraapp,295.833210325,254.3032854625,14.68310168625,,,,,,,,
ABarapaa,275.5930916625,269.8340464375,14.6432871325,,,,,,,,
ABarapap,314.566079875,267.9069376125,14.6334090375,ABarapapp,327.1134725125,258.7916715375,14.489224635,ABarapapa,297.7603646875,260.872126725,14.63695653875
ABarappa,332.59227335,270.0779785375,14.61040354375,ABarappap,328.3410838375,266.2012889375,14.54864716625,ABarappaa,295.6377349875,265.9298162,14.69827808875
ABarappp,363.0155834125,267.7331359,14.51092847625,ABarapppp,330.934013575,271.6127943375,14.639024085,ABarapppa,299.7410894625,270.7511562,14.7246597525
ABarpaaa,251.4283959375,273.9600642,15.1696798075,,,,,,,,
ABarpaap,289.5477937875,275.30040155,15.3313288025,ABarpaapp,331.4146965125,264.7105232625,15.36004579,ABarpaapa,285.4664336625,263.56803095,15.5161095175
ABarpapa,291.4194319625,272.222811175,15.02101254875,ABarpapap,287.47032165,273.290124125,15.5292309075,ABarpapaa,255.4585618,272.6772112125,15.63729572875
ABarpapp,335.070554125,271.6721456875,15.05003199,ABarpappp,339.357866775,275.9043993,15.40221563375,ABarpappa,308.465358325,277.0823115125,15.6393469125
ABarppaa,322.8081368875,271.82596475,15.51651125875,ABarppaap,376.5314898625,252.22884725,15.412777815,ABarppaaa,341.558572375,254.658611,15.61128924875
ABarppap,361.2234757875,264.9716453,15.35982690375,,,,,,,,
ABarpppa,371.6029381125,273.3332337375,15.2501481325,,,,,,,,
ABarpppp,415.4451006375,269.242258525,15.2429511575,,,,,,,,
ABplaaaa,222.8310957375,256.231333725,15.83384069125,ABplaaaap,259.910291,250.078412,15.75911666,ABplaaaaa,231.329903925,247.763085575,15.86905085375
ABplaaap,265.7132320625,259.1430499625,15.76765557625,ABplaaapp,317.6957753,247.8713866,15.50349386,ABplaaapa,284.5702009125,248.8360925875,15.7639267875
ABplaapa,250.270460775,245.14303625,15.91986544,ABplaapap,294.5115764,237.9564614,15.74057266,ABplaapaa,257.4897809,238.6757854,15.71530842
ABplaapp,297.15491685,244.1556152375,15.54325770875,,,,,,,,
ABplapaa,297.207555225,258.170270525,15.61370347625,ABplapaap,371.8364479,241.0630057,15.62533912,ABplapaaa,335.7859539,241.380663,15.58919645
ABplapap,337.23826315,256.05576955,15.431010805,ABplapapp,439.0838497,240.025762,15.42772669,ABplapapa,400.0772073,240.876558,15.52018145
ABplappa,341.7497561,243.356487425,15.49504072375,,,,,,,,
ABplappp,389.4516323625,240.523742775,15.70356444125,ABplapppp,467.1919393,234.8290755,15.25810832,ABplapppa,442.4881709,233.1101296,15.27244438
ABplpaaa,268.0258883,229.60323555,15.85382651125,ABplpaaap,293.3975849,228.5363914,15.28119309,ABplpaaaa,262.4986485,231.0286043,15.2567156
ABplpaap,303.7640945625,230.0749154875,15.90275493125,ABplpaapp,328.4129066,227.9356931,15.3145522,ABplpaapa,291.7846338,227.9733856,15.37276942
ABplpapa,313.8273015125,225.9452955375,15.58783495375,,,,,ABplpapaa,307.6262129,230.9150448,14.85848482
ABplpapp,358.3766306125,226.01833075,15.43176649625,,,,,ABplpappa,350.4059996,234.2713137,14.55475117
ABplppaa,334.9985999,231.2939905125,15.7776406875,,,,,ABplppaaa,337.558396,228.821233,15.1334745
ABplppap,371.9210455375,232.662761525,15.6490257775,,,,,,,,
ABplpppa,391.4513956875,228.4018054375,15.55431284875,,,,,ABplpppap,436.872812,226.195405,14.76541237
ABplpppp,423.408082175,230.3263811875,15.815061995,,,,,ABplppppp,434.6017288,237.6370058,14.96302386
ABpraaaa,302.3320770125,279.5323647375,14.87795479125,ABpraaaap,281.3027653,279.3065598,15.14505026,ABpraaaaa,254.6112175,276.5130475,15.1117576
ABpraaap,336.8476804625,282.134031275,15.0163246025,,,,,ABpraaapa,273.1132558,277.859615,15.2701917
ABpraapa,361.5723653875,283.07734075,14.86623117875,ABpraapap,342.6860791,281.2171291,15.46727931,ABpraapaa,307.0279614,281.3922726,15.4191794
ABpraapp,400.040120675,279.5746374,14.9008463275,,,,,,,,
ABprapaa,393.5024833625,281.788400625,15.36924603625,ABprapaap,415.9529964,280.1334727,15.57392016,ABprapaaa,377.8690712,280.8660847,15.53964715
ABprapap,437.497527114286,281.358785571429,15.3457970514286,ABprapapp,484.1804159,272.1804095,15.25043192,ABprapapa,451.1415924,278.2518896,15.33475914
ABprappa,458.9955095,276.383766675,14.98970269875,ABprappap,467.5914143,274.8727195,14.99446652,ABprappaa,434.227504,278.8111996,14.96772979
ABprappp,487.750385225,268.17881065,15.20960044375,,,,,ABprapppa,480.8926754,271.9725299,14.98856846
ABprpaaa,371.8862710625,277.57265765,14.67763995625,ABprpaaap,336.4804204,279.6651176,14.82661463,ABprapaaaa,361.9944419,281.0437967,15.33521981
ABprpaap,409.0264757,277.714266675,14.710109855,ABprpaapp,371.3023563,280.6973776,14.87553621,ABprpaapa,337.6082591,280.8334531,14.88907469
ABprpapa,413.1438772,270.64072515,14.653198175,,,,,ABprpapaa,353.2380534,270.8754052,14.56050061
ABprpapp,448.7854097375,263.7149042625,14.72059524,ABprpappp,413.3059655,264.3375724,14.61296355,ABprpappa,381.6623098,264.3971689,14.44648448
ABprppaa,438.6560775375,276.9960083875,14.81984252375,ABprppaap,400.4299846,273.7843397,14.72933414,ABprppaaa,372.1946378,275.8947446,14.80935252
ABprppap,467.4324716125,271.350144075,14.83007246375,ABprppapp,443.1717618,273.2792479,14.88879144,ABprppapa,413.37526,274.7422186,14.76283623
ABprpppa,491.7578566875,267.8921514875,14.8652492475,ABprpppap,478.5368259,268.1938882,14.82937727,,,,
ABprpppp,491.89358325,257.4102640875,14.996723575,ABprppppp,464.1620802,260.9186014,14.88892154,ABprppppa,442.1181402,266.0818458,14.77224286
Caaaa,443.09971735,252.42628365,15.55064713875,,,,,,,,
Caaap,485.438481575,248.4232965625,15.6102085025,,,,,,,,
Caapa,511.020026475,249.72994475,15.31788426625,,,,,,,,
Caapp,508.556925075,246.226209675,15.16942034875,,,,,,,,
Capaa,431.641790375,245.29471785,14.76727542,Capaap,423.4762383,247.0627084,14.73701585,Capaaa,406.5180164,238.4653414,14.93608925
Capap,458.4035970125,248.7776301625,14.71539501875,Capapp,455.3003499,245.7268207,14.70767446,Capapa,440.4697373,240.9489885,14.8891685
Cappa,471.131243875,241.8961320875,15.11417957,Cappap,461.7716345,241.1318,14.83170089,Cappaa,442.1926999,240.0742158,14.9564149
Cappp,485.9527444375,246.8220968625,14.96876789125,Capppp,479.4749927,247.8481163,14.65821312,Capppa,482.4376589,241.6205799,15.08269165
Cpaaa,444.4665050375,265.80457795,15.47470474875,,,,,,,,
Cpaap,490.1382874,262.9152498,15.45060406625,,,,,,,,
Cpapa,515.2941892,259.3526321875,15.181369965,,,,,,,,
Cpapp,517.75479715,252.42200955,15.10576822625,,,,,,,,
Cppaa,448.6339739,259.3498389875,14.6175363125,Cppaap,443.3877492,259.485368,14.73790423,Cppaaa,424.4039866,264.6075916,14.8188005
Cppap,466.5476277125,254.609152975,14.72715692,Cppapp,460.3860799,254.5277788,14.62135195,Cppapa,443.9930558,261.7846985,14.86133069
Cpppa,485.7550787,258.8352979125,14.91365872375,Cpppap,475.8712329,263.2379428,14.97653586,Cpppaa,451.2142369,265.7121987,15.21766898
Cpppp,490.967669225,254.6327006125,14.94052622125,Cppppp,491.3995387,253.3597554,14.80670061,Cppppa,490.4930759,261.2426913,14.948061
Daaa,378.959347425,233.61228445,15.066561485,,,,,,,,
Daap,401.1032942625,235.7406623,14.67618144375,,,,,,,,
Dapa,396.84832335,231.740153725,14.95318496375,,,,,,,,
Dapp,426.7361129375,236.923676175,14.8298511575,Dappp,443.845113,233.9233334,14.93051115,Dappa,408.9923808,236.0964413,15.42467431
Dpaa,385.39456055,270.7817293375,14.964586245,,,,,,,,
Dpap,404.7112368375,264.24365185,14.7457772325,,,,,,,,
Dppa,401.43053775,277.1328603,15.00429499625,,,,,,,,
